material,radius_nm,epsilon_r,crystal_structure,band_gap_eV,Eg_bulk_eV,me_eff,mh_eff
ZnSe,4.586,8.755,ZB,2.7612,2.7,0.16,0.6
ZnO,3.873,8.478,WZ,3.3623,3.37,0.24,0.59
GaN,7.327,8.855,WZ,3.4014,3.4,0.2,0.8
ZnSe,4.135,8.826,ZB,2.764,2.7,0.16,0.6
GaAs,7.339,12.496,ZB,1.5088,1.42,0.067,0.5
InP,6.637,13.0,ZB,1.4334,1.34,0.08,0.6
InP,5.625,12.671,ZB,1.3909,1.34,0.08,0.6
InAs,5.239,14.518,ZB,0.8869,0.36,0.026,0.41
GaAs,2.028,12.79,ZB,2.884,1.42,0.067,0.5
GaN,4.255,9.452,WZ,3.4967,3.4,0.2,0.8
CsPbI3,5.276,30.001,Perovskite,1.9182,1.73,0.12,0.18
GaAs,7.939,12.668,ZB,1.5363,1.42,0.067,0.5
ZnSe,6.9,9.12,ZB,2.7611,2.7,0.16,0.6
CdS,6.272,8.908,WZ,2.3904,2.42,0.2,0.6
TiO2,4.509,86.784,Rutile,3.1216,3.05,1.0,1.0
TiO2,4.073,86.477,Rutile,2.9997,3.05,1.0,1.0
PbS,7.6,16.925,Rocksalt,0.4788,0.41,0.09,0.08
ZnO,7.048,7.851,WZ,3.4034,3.37,0.24,0.59
CsPbBr3,6.941,23.837,Perovskite,2.3993,2.3,0.15,0.2
PbSe,6.912,22.734,Rocksalt,0.4521,0.28,0.07,0.07
GaN,6.201,8.928,WZ,3.3967,3.4,0.2,0.8
GaAs,4.208,12.328,ZB,1.7443,1.42,0.067,0.5
TiO2,7.588,86.97,Rutile,3.0194,3.05,1.0,1.0
InAs,4.536,14.632,ZB,1.121,0.36,0.026,0.41
InAs,7.603,14.424,ZB,0.5961,0.36,0.026,0.41
GaAs,4.872,13.001,ZB,1.6304,1.42,0.067,0.5
PbSe,3.095,22.559,Rocksalt,1.3682,0.28,0.07,0.07
CdS,5.63,9.164,WZ,2.4031,2.42,0.2,0.6
InP,2.91,12.473,ZB,1.885,1.34,0.08,0.6
